date,avg_sentiment_score,open,high,low,close,volume,price_change,Bearish,Bullish,Neutral
2025-03-06,0.5138489007949829,90622.359375,92804.9375,87852.140625,89961.7265625,47749810486.0,-660.6328125,0,0,1
2025-03-05,0.7189673781394958,87222.953125,90998.2421875,86379.7734375,90623.5625,50498988027.0,3400.609375,0,0,1
2025-03-04,0.8525655642151833,86064.0703125,88911.2734375,81529.2421875,87222.1953125,68095241474.0,1158.125,0,0,1
2025-03-03,0.7653548717498779,94248.421875,94429.75,85081.3046875,86065.671875,70072228536.0,-8182.75,0,1,0
2025-02-28,0.5359458923339844,84705.625,85036.3203125,78248.9140625,84373.0078125,83610570576.0,-332.6171875,0,1,0
2025-02-25,0.8188506563504537,91437.1171875,92511.078125,86008.234375,88736.171875,92139104128.0,-2700.9453125,0,0,1
2025-02-24,0.8851798176765442,96277.9609375,96503.453125,91371.7421875,91418.171875,44046480529.0,-4859.7890625,0,0,1
2025-02-23,0.6553017497062683,96577.8046875,96671.875,95270.453125,96273.921875,16999478976.0,-303.8828125,0,0,1
2025-02-22,0.9575636386871338,96134.203125,96950.15625,95765.34375,96577.7578125,18353824477.0,443.5546875,0,0,1
2025-02-21,0.7344925403594971,98340.671875,99497.96875,94852.9609375,96125.546875,49608706470.0,-2215.125,0,0,1
2025-02-20,0.8236486613750458,96632.6796875,98767.1953125,96442.671875,98333.9375,31668022771.0,1701.2578125,0,1,0
2025-02-19,0.9526607990264893,95532.53125,96855.59375,95011.96875,96635.609375,28990872862.0,1103.078125,0,0,1
2025-02-18,0.6790589292844137,95773.8125,96695.375,93388.8359375,95539.546875,37325720482.0,-234.265625,0,0,1
2025-02-17,0.7653548717498779,96179.0078125,97032.234375,95243.546875,95773.3828125,27336550690.0,-405.625,0,1,0
2025-02-15,0.8777685165405273,97508.3828125,97975.0390625,97240.1953125,97580.3515625,17047266288.0,71.96875,0,0,1
2025-02-14,0.8972273021936417,96623.3671875,98819.46875,96342.8046875,97508.96875,32697987277.0,885.6015625,0,0,1
2025-02-13,0.6793318390846252,97888.75,98111.0859375,95269.7109375,96623.8671875,37147280860.0,-1264.8828125,0,0,1
2025-02-12,0.5781116634607315,95745.6953125,98151.0234375,94101.203125,97885.859375,49340445530.0,2140.1640625,0,0,1
2025-02-10,0.5934412181377411,96499.4609375,98333.21875,95320.84375,97437.5546875,40078962391.0,938.09375,0,0,1
2025-02-09,0.639502763748169,96481.3125,97325.28125,94745.2578125,96500.09375,27732901800.0,18.78125,0,0,1
2025-02-08,0.7994082272052765,96533.2578125,96877.8046875,95702.4921875,96482.453125,22447526395.0,-50.8046875,0,0,1
2025-02-07,0.8301520744959513,96581.3203125,100154.140625,95653.8828125,96529.0859375,55741290456.0,-52.234375,0,0,1
2025-02-06,0.5427068670590719,96610.640625,99168.609375,95707.3515625,96593.296875,45302471947.0,-17.34375,0,0,1
2025-02-05,0.5501035451889038,97878.0078125,99113.2109375,96174.828125,96615.4453125,49125911241.0,-1262.5625,0,0,1
2025-02-04,0.6835523645083109,101398.71875,101745.6171875,96208.109375,97871.8203125,73002130211.0,-3526.8984375,0,1,0
2025-02-03,0.7649116218090057,97681.1015625,102514.171875,91242.890625,101405.421875,115400897748.0,3724.3203125,0,0,1
2025-02-02,0.7205343395471573,100661.5390625,101430.6640625,96216.078125,97688.9765625,63091816853.0,-2972.5625,0,0,1
2025-02-01,0.5819060206413269,102402.796875,102755.7265625,100297.7109375,100655.90625,27757944848.0,-1746.890625,1,0,0
2025-01-31,0.7872713804244995,104737.5625,106026.3515625,101543.8828125,102405.0234375,45732764360.0,-2332.5390625,0,0,1
2025-01-30,0.5940952003002167,103709.3359375,106418.765625,103321.6484375,104735.3046875,41915744521.0,1025.96875,0,0,1
2025-01-29,0.6882229745388031,101317.5234375,104750.8046875,101283.8203125,103703.2109375,47432049818.0,2385.6875,0,0,1
2025-01-28,0.6172659993171692,102095.4140625,103730.8203125,100238.1875,101332.4765625,47180685494.0,-762.9375,0,0,1
2025-01-27,0.7192533910274506,102680.3046875,103214.109375,97795.9375,102087.6875,89006608428.0,-592.6171875,0,0,1
2025-01-26,0.6835856437683105,104713.2109375,105438.6484375,102507.7109375,102682.5,22543395879.0,-2030.7109375,0,0,1
2025-01-25,0.6946424245834351,104824.03125,105243.7890625,104120.375,104714.6484375,23888996502.0,-109.3828125,0,0,1
2025-01-21,0.6649039387702942,102052.578125,107180.921875,100103.953125,106146.265625,88733878242.0,4093.6875,0,0,1
2025-01-20,0.6987854242324829,101083.75,109114.8828125,99471.359375,102016.6640625,126279678351.0,932.9140625,0,1,0
2025-01-19,0.6390711665153503,104411.2890625,106299.796875,99570.53125,101089.609375,76789928525.0,-3321.6796875,0,1,0
2025-01-18,0.6376937627792358,104124.953125,104913.203125,102226.6171875,104408.0703125,50445655726.0,283.1171875,0,0,1
2025-01-17,0.5577196478843689,100025.765625,105884.2265625,99948.90625,104462.0390625,71888972663.0,4436.2734375,0,0,1
2025-01-15,0.58625328540802,96534.046875,100697.234375,96501.640625,100504.4921875,57805923627.0,3970.4453125,0,0,1
2025-01-13,0.7653548717498779,94488.890625,95837.0,89260.1015625,94516.5234375,72978998252.0,27.6328125,0,1,0
2025-01-11,0.47175002098083496,94700.8359375,94977.6875,93840.046875,94566.59375,18860894100.0,-134.2421875,0,1,0
2025-01-09,0.6660988330841064,95043.484375,95349.71875,91220.84375,92484.0390625,62777261693.0,-2559.4453125,0,0,1
2025-01-08,0.6305539608001709,96924.1640625,97258.3203125,92525.84375,95043.5234375,63875859171.0,-1880.640625,0,1,0
2025-01-06,0.8538686633110046,98314.953125,102482.875,97926.1484375,102078.0859375,51823432705.0,3763.1328125,0,0,1
2025-01-04,0.7578868567943573,98106.9921875,98734.4296875,97562.9765625,98236.2265625,22342608078.0,129.234375,0,0,1
2025-01-03,0.5060194730758667,96881.7265625,98956.9140625,96034.6171875,98107.4296875,35611391163.0,1225.703125,1,0,0
2025-01-02,0.7850087285041809,94416.2890625,97739.8203125,94201.5703125,96886.875,46009564411.0,2470.5859375,0,1,0
2024-12-31,0.6096692681312561,92643.25,96090.6015625,91914.03125,93429.203125,43625106843.0,785.953125,0,0,1
2024-12-30,0.7358609437942505,93527.1953125,94903.3203125,91317.1328125,92643.2109375,56188003691.0,-883.984375,0,0,1
2024-12-29,0.5783295631408691,95174.0546875,95174.875,92881.7890625,93530.2265625,29635885267.0,-1643.828125,0,1,0
2024-12-28,0.6500228345394135,94160.1875,95525.8984375,94014.2890625,95163.9296875,24107436185.0,1003.7421875,0,0,1
2024-12-23,0.5943874597549439,95099.390625,96416.2109375,92403.1328125,94686.2421875,65239002919.0,-413.1484375,0,1,0
2024-12-21,0.9423601031303406,97756.1953125,99507.1015625,96426.5234375,97224.7265625,51765334294.0,-531.46875,0,0,1
2024-12-18,0.6376937627792358,106147.296875,106470.609375,100041.5390625,100041.5390625,93865656139.0,-6105.7578125,0,0,1
2024-12-17,0.6393700540065765,106030.6875,108268.4453125,105291.734375,106140.6015625,68589364868.0,109.9140625,0,0,1
2024-12-16,0.6559461653232574,104293.578125,107780.578125,103322.984375,106029.71875,91020417816.0,1736.140625,0,1,0
2024-12-15,0.6368081867694855,101373.53125,105047.5390625,101227.03125,104298.6953125,51145914137.0,2925.1640625,0,0,1
2024-12-12,0.9494709372520447,101167.8046875,102524.9140625,99339.953125,100043.0,72073983533.0,-1124.8046875,0,0,1
2024-12-09,0.7270190417766571,101237.0625,101272.5078125,94355.9140625,97432.71875,110676473908.0,-3804.34375,0,0,1
2024-12-08,0.5083264708518982,99921.9140625,101399.9921875,98771.515625,101236.015625,44125751925.0,1314.1015625,0,1,0
2024-12-06,0.7997261881828308,97074.2265625,102039.8828125,96514.875,99920.7109375,94534772658.0,2846.484375,0,0,1
2024-12-05,0.6891629099845886,98741.5390625,103900.46875,91998.78125,96593.5703125,149218945580.0,-2147.96875,0,0,1
2024-12-04,0.915068507194519,95988.53125,99207.328125,94660.5234375,98768.53125,77199817112.0,2780.0,0,0,1
2024-12-02,0.639327734708786,97276.0078125,98152.6015625,94482.8671875,95865.3046875,72680784305.0,-1410.703125,0,0,1
2024-12-01,0.8175422549247742,96461.3359375,97888.125,95770.1875,97279.7890625,36590695296.0,818.453125,1,0,0
2024-11-30,0.6340922713279724,97468.8125,97499.34375,96144.21875,96449.0546875,31634227866.0,-1019.7578125,0,1,0
2024-11-25,0.7653548717498779,98033.4453125,98935.03125,92642.9140625,93102.296875,80909462490.0,-4931.1484375,0,1,0
